Target device: xilinx_u280_gen3x16_xdma_base_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
5543.4,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5563.55,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5583.69,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5603.82,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5623.97,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5644.15,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5664.38,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5684.51,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5704.7,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5724.89,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5745.09,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5765.24,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5785.42,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5805.62,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5825.76,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5845.9,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5866.07,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5886.2,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5906.36,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5926.5,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5946.64,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5966.79,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
5986.93,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6007.07,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6027.21,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6047.35,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6067.5,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6087.64,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6107.79,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6127.93,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6148.08,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6168.23,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6188.37,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6208.53,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6228.67,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6248.82,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6268.97,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6289.11,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6309.26,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6329.4,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6349.55,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6369.7,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6389.84,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6409.99,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6430.14,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6450.28,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6470.43,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6490.58,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6510.72,665,12181,1197,12143,10254,851,0,3281,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
6530.86,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6552.13,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6572.27,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6592.42,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6612.56,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6632.71,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6652.86,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6673,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6693.14,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6713.28,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6733.43,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6753.57,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6773.71,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6793.85,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6813.99,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6834.13,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6854.27,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6874.42,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6894.56,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6914.71,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6934.86,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6955.05,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6975.19,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
6995.33,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7015.47,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7035.62,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7055.76,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7075.91,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7096.06,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7116.25,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7136.4,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7156.55,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7176.71,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7196.91,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7217.11,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7237.31,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7257.51,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7277.7,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7297.85,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7318.01,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7338.2,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7358.35,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7378.5,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7398.69,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7418.83,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7438.97,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7459.1,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7479.25,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7499.39,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7519.54,791,12179,1327,12144,10374,851,0,3280,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1149,
7539.68,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7560.9,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7581.04,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7601.18,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7621.33,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7641.48,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7661.62,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7681.76,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7701.9,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7722.04,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7742.19,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7762.33,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7782.48,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7802.64,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7822.79,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7842.94,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7863.1,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7883.25,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7903.4,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7923.56,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7943.72,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7963.88,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
7984.03,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8004.2,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8024.34,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8044.46,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8064.61,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8084.75,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8104.89,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8125.03,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8145.17,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8165.31,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8185.46,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8205.6,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8225.74,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8245.88,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
8266.02,773,12183,1336,12153,10290,851,0,3284,0,2,0,0,30,26,0,0,33,40,35,35,28,0,0,1150,
