Target device: xilinx_u280_gen3x16_xdma_base_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
138.105,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
158.434,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
178.614,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
198.762,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
218.941,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
239.115,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
259.259,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
279.428,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
299.578,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
319.749,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
339.919,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
360.091,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
380.27,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
400.435,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
420.596,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
440.736,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
460.907,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
481.042,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
501.184,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
521.322,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
541.503,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
561.683,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
581.862,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
602.041,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
622.196,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
642.349,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
662.55,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
682.734,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
702.907,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
723.069,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
743.219,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
763.402,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
783.578,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
803.721,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
823.901,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
844.059,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
864.252,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
884.433,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
904.568,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
924.718,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
944.905,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
965.09,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
985.268,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
1005.41,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
1025.6,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
1045.78,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
1065.95,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
1086.09,897,12242,1284,12197,8838,850,0,3275,2,0,0,0,27,24,0,0,31,35,30,32,27,0,0,1146,
